incident_id,created_at,clinic_id,country,patient_id,category,status,satisfaction_score,description
INC-0001,2026-07-01,us-tx-001,US,HC-000001,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0002,2026-07-01,us-fl-001,US,HC-000002,BILLING,OPEN,,"Billing workflow issue"
INC-0003,2026-07-01,us-ga-001,US,HC-000003,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0004,2026-07-01,uk-lon-001,UK,HC-000004,BILLING,OPEN,,"Billing workflow issue"
INC-0005,2026-07-01,uk-man-001,UK,HC-000005,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0006,2026-07-01,us-tx-001,US,HC-000006,BILLING,OPEN,,"Billing workflow issue"
INC-0007,2026-07-01,us-fl-001,US,HC-000007,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0008,2026-07-01,us-ga-001,US,HC-000008,BILLING,OPEN,,"Billing workflow issue"
INC-0009,2026-07-01,uk-lon-001,UK,HC-000009,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0010,2026-07-01,uk-man-001,UK,HC-000010,BILLING,OPEN,,"Billing workflow issue"
INC-0011,2026-07-01,us-tx-001,US,HC-000011,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0012,2026-07-01,us-fl-001,US,HC-000012,BILLING,OPEN,,"Billing workflow issue"
INC-0013,2026-07-01,us-ga-001,US,HC-000013,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0014,2026-07-01,uk-lon-001,UK,HC-000014,BILLING,OPEN,,"Billing workflow issue"
INC-0015,2026-07-01,uk-man-001,UK,HC-000015,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0016,2026-07-01,us-tx-001,US,HC-000016,BILLING,OPEN,,"Billing workflow issue"
INC-0017,2026-07-01,us-fl-001,US,HC-000017,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0018,2026-07-01,us-ga-001,US,HC-000018,BILLING,OPEN,,"Billing workflow issue"
INC-0019,2026-07-01,uk-lon-001,UK,HC-000019,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0020,2026-07-01,uk-man-001,UK,HC-000020,BILLING,OPEN,,"Billing workflow issue"
INC-0021,2026-07-01,us-tx-001,US,HC-000021,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0022,2026-07-01,us-fl-001,US,HC-000022,BILLING,OPEN,,"Billing workflow issue"
INC-0023,2026-07-01,us-ga-001,US,HC-000023,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0024,2026-07-01,uk-lon-001,UK,HC-000024,BILLING,OPEN,,"Billing workflow issue"
INC-0025,2026-07-01,uk-man-001,UK,HC-000025,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0026,2026-07-01,us-tx-001,US,HC-000026,BILLING,OPEN,,"Billing workflow issue"
INC-0027,2026-07-01,us-fl-001,US,HC-000027,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0028,2026-07-01,us-ga-001,US,HC-000028,BILLING,OPEN,,"Billing workflow issue"
INC-0029,2026-07-01,uk-lon-001,UK,HC-000029,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0030,2026-07-01,uk-man-001,UK,HC-000030,BILLING,OPEN,,"Billing workflow issue"
INC-0031,2026-07-01,us-tx-001,US,HC-000031,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0032,2026-07-01,us-fl-001,US,HC-000032,BILLING,OPEN,,"Billing workflow issue"
INC-0033,2026-07-01,us-ga-001,US,HC-000033,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0034,2026-07-01,uk-lon-001,UK,HC-000034,BILLING,OPEN,,"Billing workflow issue"
INC-0035,2026-07-01,uk-man-001,UK,HC-000035,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0036,2026-07-01,us-tx-001,US,HC-000036,BILLING,OPEN,,"Billing workflow issue"
INC-0037,2026-07-01,us-fl-001,US,HC-000037,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0038,2026-07-01,us-ga-001,US,HC-000038,BILLING,OPEN,,"Billing workflow issue"
INC-0039,2026-07-01,uk-lon-001,UK,HC-000039,APPOINTMENT,OPEN,,"Appointment access issue"
INC-0040,2026-07-01,uk-man-001,UK,HC-000040,BILLING,OPEN,,"Billing workflow issue"
INC-0041,2026-07-01,us-tx-001,US,HC-000041,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0042,2026-07-01,us-fl-001,US,HC-000042,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0043,2026-07-01,us-ga-001,US,HC-000043,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0044,2026-07-01,uk-lon-001,UK,HC-000044,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0045,2026-07-01,uk-man-001,UK,HC-000045,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0046,2026-07-01,us-tx-001,US,HC-000046,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0047,2026-07-01,us-fl-001,US,HC-000047,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0048,2026-07-01,us-ga-001,US,HC-000048,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0049,2026-07-01,uk-lon-001,UK,HC-000049,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0050,2026-07-01,uk-man-001,UK,HC-000050,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0051,2026-07-01,us-tx-001,US,HC-000051,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0052,2026-07-01,us-fl-001,US,HC-000052,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0053,2026-07-01,us-ga-001,US,HC-000053,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0054,2026-07-01,uk-lon-001,UK,HC-000054,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0055,2026-07-01,uk-man-001,UK,HC-000055,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0056,2026-07-01,us-tx-001,US,HC-000056,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0057,2026-07-01,us-fl-001,US,HC-000057,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0058,2026-07-01,us-ga-001,US,HC-000058,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0059,2026-07-01,uk-lon-001,UK,HC-000059,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0060,2026-07-01,uk-man-001,UK,HC-000060,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0061,2026-07-01,us-tx-001,US,HC-000061,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0062,2026-07-01,us-fl-001,US,HC-000062,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0063,2026-07-01,us-ga-001,US,HC-000063,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0064,2026-07-01,uk-lon-001,UK,HC-000064,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0065,2026-07-01,uk-man-001,UK,HC-000065,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0066,2026-07-01,us-tx-001,US,HC-000066,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0067,2026-07-01,us-fl-001,US,HC-000067,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0068,2026-07-01,us-ga-001,US,HC-000068,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0069,2026-07-01,uk-lon-001,UK,HC-000069,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0070,2026-07-01,uk-man-001,UK,HC-000070,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0071,2026-07-01,us-tx-001,US,HC-000071,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0072,2026-07-01,us-fl-001,US,HC-000072,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0073,2026-07-01,us-ga-001,US,HC-000073,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0074,2026-07-01,uk-lon-001,UK,HC-000074,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0075,2026-07-01,uk-man-001,UK,HC-000075,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0076,2026-07-01,us-tx-001,US,HC-000076,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0077,2026-07-01,us-fl-001,US,HC-000077,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0078,2026-07-01,us-ga-001,US,HC-000078,BILLING,CLOSED,3.58,"Billing workflow issue"
INC-0079,2026-07-01,uk-lon-001,UK,HC-000079,APPOINTMENT,CLOSED,3.58,"Appointment access issue"
INC-0080,2026-07-01,uk-man-001,UK,HC-000080,BILLING,CLOSED,3.58,"Billing workflow issue"
