metric,value
total_records,100
valid_records,94
invalid_records,6
invalid_reason.clinic_country_mismatch,1
invalid_reason.invalid_category,1
invalid_reason.invalid_clinic_id,1
invalid_reason.invalid_patient_id,1
invalid_reason.invalid_status,1
invalid_reason.missing_required_field,1
category.APPOINTMENT,47
category.BILLING,47
status.CLOSED,40
status.DISCARDED,14
status.OPEN,40
clinic.uk-lon-001,19
clinic.uk-man-001,18
clinic.us-fl-001,19
clinic.us-ga-001,19
clinic.us-tx-001,19
country.UK,37
country.US,57
average_satisfaction_closed,3.5800
